event,league,date,event_location_country,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate
East vs West 17,EvW,"March 29, 2025",USA,Hunter Noffz,Valen Low,Hunter Noffz,Right,27.0,31.0,Hook,Side,Toproll,Hook,77.0,78.0,-1.0,175.0,169.0,6.0,USA,Singapore,0,1,1,transatlantic,1,44.2,53.4,40.4,male,male,False,False,231,0,3,2,0,0,8,0,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,0.667,0.5,0.5,0.0
East vs West 17,EvW,"March 29, 2025",USA,Valen Low,Hunter Noffz,Hunter Noffz,Right,31.0,27.0,Toproll,Hook,Hook,Side,78.0,77.0,1.0,169.0,175.0,-6.0,Singapore,USA,1,0,-1,transatlantic,0,53.4,44.2,59.6,male,male,False,False,0,231,0,0,3,2,0,8,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.5,0.0,0.667,0.5
East vs West 17,EvW,"March 29, 2025",USA,Craig Tullier,John Therrien,Craig Tullier,Right,52.0,29.0,Side,Press,Hook,Side,85.0,95.0,-10.0,175.0,178.0,-3.0,USA,Canada,0,0,0,domestic,1,58.3,44.2,67.9,male,male,False,False,231,0,2,2,0,0,8,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.5
East vs West 17,EvW,"March 29, 2025",USA,John Therrien,Craig Tullier,Craig Tullier,Right,29.0,52.0,Hook,Side,Side,Press,95.0,85.0,10.0,178.0,175.0,3.0,Canada,USA,0,0,0,domestic,0,44.2,58.3,32.1,male,male,False,False,0,231,0,0,2,2,1,8,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0
East vs West 17,EvW,"March 29, 2025",USA,Mindaugas Tarasaitis,Janis Amolins,Mindaugas Tarasaitis,Right,34.0,43.0,Toproll,Side,Toproll,Side,76.0,77.0,-1.0,178.0,178.0,0.0,Lithuania,Latvia,1,1,0,domestic,1,53.3,53.3,50.0,male,male,False,False,231,231,1,2,2,0,5,7,0,0,0.8,0,0,1.0,0,0,0,0,0,0,0,0,0.667,1.0,0.5,0.5
East vs West 17,EvW,"March 29, 2025",USA,Janis Amolins,Mindaugas Tarasaitis,Mindaugas Tarasaitis,Right,43.0,34.0,Toproll,Side,Toproll,Side,77.0,76.0,1.0,178.0,178.0,-0.0,Latvia,Lithuania,1,1,0,domestic,0,53.3,53.3,50.0,male,male,False,False,231,231,2,0,1,2,7,5,0,0,1.0,0,0,0.8,0,0,0,0,0,0,0,0,0.5,0.5,0.667,1.0
East vs West 17,EvW,"March 29, 2025",USA,Jocelyne Brisson,Sarah Backman,Jocelyne Brisson,Right,28.0,33.0,Toproll,Hook,Hook,Toproll,85.0,80.0,5.0,180.0,174.0,6.0,Canada,USA,0,0,0,domestic,1,53.4,39.7,59.6,male,male,False,False,0,504,0,1,2,0,2,4,0,0,0.5,0,-2,0.5,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.5
East vs West 17,EvW,"March 29, 2025",USA,Sarah Backman,Jocelyne Brisson,Jocelyne Brisson,Right,33.0,28.0,Hook,Toproll,Toproll,Hook,80.0,85.0,-5.0,174.0,180.0,-6.0,USA,Canada,0,0,0,domestic,0,39.7,53.4,40.4,male,male,False,False,504,0,2,0,0,1,4,2,0,-2,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0
East vs West 17,EvW,"March 29, 2025",USA,Evgeny Prudnik,Kody Merritt,Evgeny Prudnik,Left,37.0,51.0,Hook,Toproll,King's Move,Toproll,115.0,153.0,-38.0,185.0,188.0,-3.0,Ukraine,USA,1,0,-1,transatlantic,1,39.7,14.3,60.0,male,male,False,False,231,693,1,1,1,0,4,4,0,-3,0.2,-2,0,0.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0
East vs West 17,EvW,"March 29, 2025",USA,Kody Merritt,Evgeny Prudnik,Evgeny Prudnik,Left,51.0,37.0,King's Move,Toproll,Hook,Toproll,153.0,115.0,38.0,188.0,185.0,3.0,USA,Ukraine,0,1,1,transatlantic,0,14.3,39.7,40.0,male,male,False,False,693,231,1,0,1,1,4,4,-2,0,0.0,0,-3,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5
East vs West 17,EvW,"March 29, 2025",USA,Mindaugas Tarasaitis,Hunter Noffz,Mindaugas Tarasaitis,Left,34.0,27.0,Toproll,Side,Hook,Side,76.0,77.0,-1.0,178.0,175.0,3.0,Lithuania,USA,1,0,-1,transatlantic,1,53.3,44.2,59.6,male,male,False,False,231,231,1,2,3,2,5,8,0,0,0.8,0,0,1.0,0,0,0,0,0,0,0,0,0.667,1.0,0.667,0.5
East vs West 17,EvW,"March 29, 2025",USA,Hunter Noffz,Mindaugas Tarasaitis,Mindaugas Tarasaitis,Left,27.0,34.0,Hook,Side,Toproll,Side,77.0,76.0,1.0,175.0,178.0,-3.0,USA,Lithuania,0,1,1,transatlantic,0,44.2,53.3,40.4,male,male,False,False,231,231,3,2,1,2,8,5,0,0,1.0,0,0,0.8,0,0,0,0,0,0,0,0,0.667,0.5,0.667,1.0
East vs West 17,EvW,"March 29, 2025",USA,Matt Mask,Kydyrgali Ongarbaev,Matt Mask,Right,43.0,30.0,Toproll,Hook,Toproll,Hook,114.0,105.0,9.0,196.0,186.0,10.0,Canada,Kazakhstan,0,1,1,transatlantic,1,53.4,53.4,50.0,male,male,False,False,105,301,1,0,5,2,3,10,0,4,0.8,0,-2,0.6,0,0,0,0,0,-5,5,10,1.0,0.333,0.6,0.0
East vs West 17,EvW,"March 29, 2025",USA,Kydyrgali Ongarbaev,Matt Mask,Matt Mask,Right,30.0,43.0,Toproll,Hook,Toproll,Hook,105.0,114.0,-9.0,186.0,196.0,-10.0,Kazakhstan,Canada,1,0,-1,transatlantic,0,53.4,53.4,50.0,male,male,False,False,301,105,5,2,1,0,10,3,0,-2,0.6,0,4,0.8,0,0,0,0,0,5,10,5,0.6,0.0,1.0,0.333
East vs West 17,EvW,"March 29, 2025",USA,Georgi Tsvetkov,Dave Chaffee,Georgi Tsvetkov,Right,36.0,48.0,Toproll,Side,Side,Press,165.0,125.0,40.0,190.0,188.0,2.0,Bulgaria,USA,1,0,-1,transatlantic,1,53.3,58.3,57.1,male,male,False,False,182,105,5,0,2,1,6,9,0,0,0.6,0,2,0.4,0,1,1,0,0,-5,2,7,0.5,1.0,0.667,0.286
East vs West 17,EvW,"March 29, 2025",USA,Dave Chaffee,Georgi Tsvetkov,Georgi Tsvetkov,Right,48.0,36.0,Side,Press,Toproll,Side,125.0,165.0,-40.0,188.0,190.0,-2.0,USA,Bulgaria,0,1,1,transatlantic,0,58.3,53.3,42.9,male,male,False,False,105,182,2,1,5,0,9,6,0,2,0.4,0,0,0.6,0,1,1,0,0,5,7,2,0.667,0.286,0.5,1.0
